Year,Semester,Department,Code,num_students,Mean,SD,Kurtosis,Skewness,Dip,p(Dip),Shapiro,p(Shapiro),AD,p(AD),p(BIMT),LR-BIMT,logShap,logpShap
2002,1,CSC,202,128,61.96875,24.7080392731679,1.21452774240943,-0.0295233614983073,0.126753826530612,0,0.829705588444004,7.28475627116089e-11,9.71508137731695,1.26338920410656e-23,0,0,0.84316854079598,2.41292986055483e-10
2004,1,CSC,200,182,62.7252747252747,22.9818885856403,1.10220944628283,0.0529896717276985,0.1548553487329,0,0.762337316527036,7.12524230806139e-16,20.2500996322202,3.7e-24,0,0,0.757732283238194,4.98547074866763e-16
2001,2,CSC,202,114,62.5701754385965,22.6637480198054,1.01021263960898,0.000660935946737347,0.219395711500975,0,0.680267750363869,2.03433535283063e-14,17.580328762566,3.7e-24,0,0,0.683965104919548,2.48331398857435e-14
2002,1,CSC,201,64,64.078125,19.9015869890454,1.062696539385,-0.0423771684757831,0.168059593023256,0,0.728204635818532,1.44089760480513e-09,8.19114451011892,3.62275754639847e-20,0,0,0.746423727945637,3.55978643823094e-09
2003,2,CSC,202,76,62.1973684210526,21.0396576251244,1.00732714071201,0.00149659532164216,0.226190476190476,0,0.672786085099808,9.95530618075317e-12,11.9688691144509,3.7e-24,0,0,0.673655816999779,1.03596628220828e-11
2004,1,CSC,201,124,63.7338709677419,23.8030908941107,1.10250924456274,0.0769009255223692,0.151552038953135,0,0.744134540734875,2.04910420886567e-13,14.6026022737711,3.7e-24,0,0,0.730321211127174,8.51318498566912e-14
2003,1,CSC,100,480,61.6354166666667,23.9341998961622,1.09466222199319,0.0628021483062997,0.15516975308642,0,0.743149812856517,1.32674929610206e-26,58.5103224957717,3.7e-24,0,0,0.728345653793498,3.11800070447957e-27
2002,1,CSC,100,488,62.1803278688525,21.3134488755894,1.08289094817384,0.0350994397354109,0.162704918032787,0,0.755130112939686,2.83082332029743e-26,55.8518496161259,3.7e-24,0,0,0.753735375523096,2.44846416263327e-26
2003,1,CSC,105,74,62,22.9895747665155,1.16308225607694,-0.0474635775306401,0.139685603971318,0,0.804241239792486,1.61597243884577e-08,6.51338135325604,3.9111636533358e-16,0,0,0.817463716735596,3.8116805281958e-08
2000,1,CSC,201,94,61.8191489361702,22.3130044370954,1.12767849038643,-0.0107716207362998,0.160069272637308,0,0.787602973291503,2.50889562115012e-10,9.11197013519143,2.92089013257595e-22,0,0,0.799714681254218,5.69017292388421e-10
2002,1,CSC,301,80,62.3375,23.9524548833039,1.01348442600427,-0.00717688730436523,0.215,0,0.68333583113632,7.58322408255922e-12,12.1791348080409,3.7e-24,0,0,0.696254282550664,1.41614108211036e-11
2001,1,CSC,100,504,61.4583333333333,23.584673604395,1.01604158538769,0.00670119072770274,0.208457341269841,0,0.689760048616933,2.18119297362718e-29,75.7283360499076,3.7e-24,0,0,0.688593104941169,1.96988716839078e-29
