Year,Semester,Department,Code,num_students,Mean,SD,Kurtosis,Skewness,Dip,p(Dip),Shapiro,p(Shapiro),AD,p(AD),p(BIMT),LR-BIMT,logShap,logpShap
2002,1,CSC,202,93,76.505376344086,8.46427743637158,2.83465944010559,-0.0720891973113949,0.044205495818399,0.198624275642272,0.985147046365807,0.375504166613968,0.382191316134438,0.39209240786862,0,0,0.976030707241591,0.0846061550901293
2004,1,CSC,200,194,80.9381443298969,8.75849187693495,3.07728921827837,-0.230100941212306,0.034020618556701,0.114131178592471,0.990434603067716,0.224817126991784,0.368860267682294,0.424821449108303,0,0,0.975124937006583,0.00158071123449004
2001,2,CSC,202,133,81.4436090225564,9.63375814348641,2.64972143565413,-0.0403849707014816,0.0323308270676692,0.421665329261789,0.987332136441325,0.260245226423452,0.331180869490254,0.50989558405314,0,0,0.981669647957188,0.070112591827738
2002,1,CSC,201,102,82.843137254902,9.21765965232624,2.90706273145667,-0.322251764155919,0.0428921568627451,0.187032916675706,0.982960689155648,0.213372304402833,0.404652414915489,0.347735318170913,0,0,0.966070149372707,0.0100524643167693
2003,2,CSC,202,94,82.0531914893617,9.34910382833804,2.30941717416768,-0.0319370108726079,0.0345744680851064,0.59899207021697,0.984362464662419,0.326016562174605,0.317163048868025,0.533237672159413,0,0,0.980864981578129,0.184809022123463
2004,1,CSC,201,94,79.3085106382979,11.2870909190041,2.34281223234523,-0.0745733616866986,0.0301418439716312,0.820567903209431,0.980193734901068,0.165173551543822,0.282654073507373,0.628336260595351,0,0,0.971628673064128,0.0385347168887339
2003,1,CSC,100,483,80.3064182194617,9.42481166409005,2.65194472012187,-0.101382416904269,0.025879917184265,0.0262769067073486,0.992703782551547,0.0187522804795384,0.541223465920154,0.164094738451726,0,0,0.983941558507457,3.53955195931413e-05
2002,1,CSC,100,499,79.6613226452906,8.11485864185058,2.84266977127284,-0.167342880619182,0.0295591182364729,0.00393567148359608,0.994800506635893,0.0902054321661692,0.73354885864677,0.0555526658810267,0,0,0.984495996267739,3.661475063946e-05
2003,1,CSC,105,105,77.647619047619,7.92874632681727,3.65210972256917,-0.523059402316199,0.0404761904761905,0.244218977058875,0.973861689317761,0.0357959245016278,0.436367454008831,0.292326230990968,0,0,0.945890046435907,0.000312949741977388
2000,1,CSC,201,69,78.1449275362319,12.7743715884565,2.23918364142023,-0.164004481024251,0.036231884057971,0.760489828208869,0.972756433365319,0.136129645421261,0.495148815849944,0.207810388385009,0,0,0.960546443627275,0.0285534626887845
2002,1,CSC,301,61,82,6.21288982680363,2.41495521132558,0.0584417396973678,0.040983606557377,0.65110981733064,0.97240391653769,0.183141732099136,0.418197488952181,0.319031779937878,0,0,0.972334177448826,0.18170083231823
2001,1,CSC,100,488,80.3463114754098,11.1366787082243,2.42020523765057,-0.171068960779221,0.0245901639344262,0.0420390864940686,0.98380351866971,2.93127433780628e-05,1.37443758920023,0.00145922159320639,0,0,0.972773358946491,6.99156729275677e-08
2002,1,CSC,105,102,79.2058823529412,11.9016915640186,2.27023005110541,-0.0747674519760064,0.0311942959001783,0.714510448504947,0.979023234367372,0.10447512964296,0.396944668283524,0.362610264235425,0,0,0.972132098233003,0.0295605723204405
2004,1,CSC,302,62,80.2903225806452,8.47829842341793,2.84307968544738,-0.228410854848936,0.0403225806451613,0.66649907484792,0.988761437996346,0.843148717079502,0.249791444250846,0.7349112633509,0,0,0.976048158955591,0.265448465246574
2000,1,CSC,100,499,79.7434869739479,9.80238131184776,2.6624061397215,-0.160411049525723,0.0287241148964596,0.00569710116280986,0.991980504927788,0.00863247037436567,0.674535624191492,0.0777265751934951,0,0,0.980405758839882,2.97272112495728e-06
2004,2,CSC,400,59,86.6101694915254,9.73797569623341,2.84672495400175,-0.701900182246853,0.0508474576271186,0.296135121278144,0.935259766386465,0.00367650647151759,1.06949591902185,0.00765981861646904,0,0,0.909973826798854,0.0003489253113278
2004,2,CSC,333,62,81.9516129032258,10.8089632194992,2.39092231309395,-0.162235649489495,0.0403225806451613,0.66649907484792,0.9763608359805,0.274833188444012,0.258095595443116,0.706842267657392,0,0,0.966774021085006,0.0911952862710423
2000,1,CSC,105,104,79.1346153846154,10.3811420629065,3.70433677862368,-0.463922210452591,0.0309065934065934,0.714453563879342,0.977556786714499,0.0743528681053613,0.366986702624843,0.426171746784419,0,0,0.937879205892716,0.000104669066564573
2003,2,CSC,201,84,83.5476190476191,8.58326301014478,2.44844035447209,0.109033244891464,0.0476190476190476,0.170863509214596,0.978527116365423,0.17350361925385,0.503176964204144,0.199648899073513,0,0,0.980098755060312,0.219639157435134
2004,2,CSC,302,56,80.5714285714286,10.3271172477778,2.49039758622514,0.00796301686126003,0.0357142857142857,0.901109140629615,0.980883477736045,0.514307118447496,0.20007954664861,0.877811852240538,0,0,0.976958729529141,0.357548626782502
2002,1,CSC,333,71,82.7183098591549,9.98453532589495,2.38915215782014,-0.172689030993012,0.0352112676056338,0.784211640797807,0.977538262016093,0.232667459844555,0.420940047857059,0.315603051668239,0,0,0.969305572443835,0.0793137501608418
2000,2,CSC,101,291,77.1374570446735,9.64231008918024,2.8087632906465,0.0239378795183192,0.0274914089347079,0.131608451136366,0.994041850188815,0.31000814932407,0.418880288668106,0.325382348752105,0,0,0.988318493017756,0.0190466076956002
2003,1,CSC,200,187,81.4973262032086,10.3005242227756,2.77841443219741,-0.195259918067921,0.0303030303030303,0.267642216523632,0.982272138027815,0.0180325974809951,0.60016253081389,0.117674144413747,0,0,0.966968687010023,0.000213203432422834
2003,2,CSC,333,68,77.1176470588235,10.8428797900848,2.52068463844585,0.269778748155605,0.0367647058823529,0.74824380642067,0.972631675485834,0.139804216999496,0.681832013307144,0.0717291136126322,0,0,0.978340300251656,0.283212656228571
2000,1,CSC,301,62,75.1612903225806,9.57831147785402,2.11117278115263,-0.125789035505145,0.0524193548387097,0.220697082099208,0.970956766648737,0.148504201995629,0.736105915984851,0.0522513994414588,0,0,0.964860377156145,0.0729233258230963
2004,1,CSC,300,55,80.8727272727273,9.05345145041288,2.55617937319959,-0.105851997637168,0.0454545454545455,0.550994122637214,0.980898732294793,0.527216528416155,0.374656092894064,0.403400716313857,0,0,0.972863290923198,0.246747220630811
2001,2,CSC,100,517,81.2765957446808,9.86846111725101,2.47132377150606,-0.0922561123861762,0.0286911669890393,0.00455278621917121,0.987477504579353,0.000204210527349022,0.914310728839496,0.019878395428895,0,0,0.980490044156542,2.09183401072264e-06
2000,2,CSC,100,495,85.0282828282828,9.91151173429752,2.68083859501069,-0.352583064125748,0.0434343434343434,0,0.970996931001904,2.4967995659131e-08,2.49750499124235,2.57433761774416e-06,0,0,0.956349244345592,6.22141015002447e-11
2004,1,CSC,100,509,79.9862475442043,7.61821580637222,2.7982811423389,-0.00795329775569851,0.0365913555992141,4.99590297131647e-05,0.996042327653627,0.233566409359996,0.605624660451156,0.115083950893261,0,0,0.991927083422089,0.00730049981954263
2003,1,CSC,301,47,77.063829787234,7.07538370543205,2.39682779003146,0.423973505681906,0.0531914893617021,0.39509715122069,0.961826450127136,0.127110666806559,0.657291909623304,0.0809300015439881,0,0,0.971507196693958,0.301999325165206
2003,2,CSC,302,61,80.0655737704918,10.1009386568098,2.66482242159717,-0.17454638082064,0.0478142076502732,0.372276599223456,0.977224810725387,0.312347484902078,0.486763445694734,0.21707882559052,0,0,0.964692409616827,0.0756259677342574
2000,2,CSC,201,121,80.9421487603306,8.58224671503249,3.53513430923951,-0.260084336798943,0.0442739079102716,0.0830117534125527,0.98365657713085,0.151364324143927,0.379653857114874,0.399076530730133,0,0,0.960735167842509,0.0013713234561933
2004,1,CSC,105,105,77.0952380952381,9.70380953099964,2.2594105177334,0.170105004938341,0.0412698412698413,0.216431540184322,0.980139123093432,0.116865566560536,0.597864791256995,0.117909221266137,0,0,0.982557506886345,0.183529772721755
2002,2,CSC,100,489,78.5296523517382,11.5394743076505,2.62348691655736,-0.184694999770928,0.0291411042944785,0.00521725354976865,0.986497702859219,0.000167784554473367,1.1250908458062,0.00600154480156023,0,0,0.969901462606815,1.78197882627286e-08
2003,1,CSC,300,48,80.5833333333333,8.89856152212933,2.64175212467629,0.0497260063250607,0.046875,0.609884152547773,0.989284073630467,0.936509914133019,0.162173479501561,0.941727081547898,0,0,0.986924233915076,0.864918084748444
2003,1,CSC,201,110,80.2090909090909,8.22403665984566,2.40255038680632,-0.0849068631632639,0.0295454545454545,0.743401693244425,0.989599427995074,0.564220782141898,0.345210635537384,0.478753496692913,0,0,0.98446742778786,0.231872557945589
2003,2,CSC,400,56,85.1071428571429,9.24549732460189,2.01099777076242,0.0436149337757925,0.0446428571428571,0.568642341879334,0.961482868187926,0.0710380384021454,0.477928666422905,0.227549993434267,0,0,0.963214518443835,0.0854451164224381
2000,1,CSC,302,57,80.1929824561404,9.42344833095164,2.38981156772976,0.000377968521544295,0.0462519936204147,0.48737583447186,0.988169510882361,0.850105148056359,0.197959954627628,0.882714179844294,0,0,0.984357782988307,0.668823161817741
2000,1,CSC,400,68,80.9264705882353,9.39405365503886,2.69699745475043,-0.196480970148472,0.0451680672268908,0.382684623676061,0.98486828504702,0.581346206114596,0.291240688703681,0.598403464707659,0,0,0.971845962308839,0.126592127441558
2000,1,CSC,101,301,79.4651162790698,9.06584868631177,2.35000402274049,0.0225070375841863,0.0289511153298529,0.0770342848648106,0.988432409953823,0.0168142880020144,0.981473956129264,0.0134924095266968,0,0,0.985979635031093,0.00499793235022341
2001,2,CSC,200,220,81.5181818181818,9.51157124489429,2.43966428429104,-0.0221605878607179,0.0277272727272727,0.283118666085816,0.988410323861842,0.072397356296658,0.377097359003528,0.406946545289168,0,0,0.984699410608275,0.0178486296752453
2001,1,CSC,400,47,83.8936170212766,10.1622362365967,6.0522140965736,-1.24288143828705,0.0460992907801418,0.656690082853139,0.917015125531824,0.00263437126343437,0.650812100176566,0.0840189841681626,0,0,0.833102812667543,9.56572054181888e-06
2001,2,CSC,201,95,81.6736842105263,9.87845507050911,2.46280391087216,-0.0362778175323668,0.0342105263157895,0.609625932506429,0.983470836887462,0.276481143920668,0.278015109990434,0.643594425982132,0,0,0.979132027926723,0.133725608910894
